"Name","URL","FirstParagraph"
"Abdullah Al-Shaikh","http://www.greenboxmuseum.com/sa-abdullahalshaikh.html","Greenbox dictionary of Saudi Arabian artistsHome   Index"
"Abdullah Hammas","http://www.greenboxmuseum.com/sa-abdullahhammas.html","Abdullah Hammas (Abha, 1953) was a prepschool art teacher for 31 years after graduating from the Riyadh Institute of Arts in 1973. He is one of seven artists supported by the Al Mansouria Foundation and is credited by them to be among the first painters to have pushed the limits of traditional and decorative painting and to have embarked on an abstract quest to link colours and materials to his homeland."
"Abdullah Idrees","http://www.greenboxmuseum.com/sa-abdullahidrees.html","Abdullah Idrees is a painter from Jeddah who sells his oil works at Hewar Gallery in Riyadh and was according to Arab News a well known figure at a 2003 exhibition when they discussed a painting of his:"
"Abdullah Nawawi","http://www.greenboxmuseum.com/sa-abdullahnawawy.html","Abdullah Nawawi is a painter of colourful abstraction from Jeddah, who is (2009) manager of the Plastic Art Committee of the Ministry of Culture and Information's Saudi Arabian Association of Arts and Culture. His education is American and in arts and ceramics. Interviewed by the Yemen Observer he explains his work as lines moving up and down and remembering moments of great joy and sadness. He also stated that his country needed two large gallery's in Riyadh and Jeddah to build permanent collections. he compliments the government fro financing artists and buying art for embassies abroad."
"Abdulmajid Ali Al-Jarouf","http://www.greenboxmuseum.com/sa-abdulmajidalialjarouf.html","Abdulmajid Ali Al-Jarouf is a painter from Saihat. He has a BA (1974) in architecture from the University of Petroleum and Minerals in Dahran in which year he was also awarded for the general presidency of the Youth Welfare art exhibition and participated in Libya. In 2003 he had a solo exhibition in The Atelier of Jeddah and in 2004 joined a group event in the Gulf Club in Saihat.On the website listed below he has a gallery of his work which includes drawings from his sketchbook. I selected the collage like paintings  here because they betray knowledge and adaption of such artists as Michaelangelo and Delacroix. (2009)."
"Abdulnasser Al-Amri","http://www.greenboxmuseum.com/sa-abdulnasseralamri.html","Abdulnasser Al-Amri is a name which was used by Abdulnasser Gharem (see there) when he was showing work of a more traditional style. In May 2008 his painting of the Kaaba (Composition II) was the winner of the BMG Foundation sponsored 'Art for Life' exhibition at the Jeddah Hilton Hotel and went to a charity auction in London during the Gulf Polo Cup. Although Al-Amri painted he told Arab News he concentrates on the concept of his painting and thinks it is unfortunate that not more styles of modern art are exhibited in Saudi Arabia. (2009)."
"Abdulnasser Gharem's","http://www.greenboxmuseum.com/sa-abdulnassergharem.html","Abdulnasser Gharem's (1973) mission is to restore behaviour to a higher standard, remembered from the past, while taking into account new technologies and insights. The artist from the town of Khamis Mushait is a luitenant-colonel of artillery (now in administration), who aims at the brains and not the bone structure of life's realities. Do not put your trust in concrete, when planning battles of the future, is what Gharem says by selecting his own ground to fire from with weapons of his choice. The training shows. The 'art people' call it performance art. People of performance might call it art of survival."
"Abdulrahman Soliman","http://www.greenboxmuseum.com/sa-abdulrahmansoliman.html","Abdulrahman Soliman (1963) exhibits paintings of a mysterious dark visison at Hewar. His work has featured at an 2002 exhibition Artistes contemporains Saoudiens at the Institute du Monde Arabe."
"Ahmad Konash","http://www.greenboxmuseum.com/sa-ahmadkonash.html","Ahmad Konash (Al-Khobar, 1982)is a gaphic designer, calligrapher, painter and photographer who has been a director in an advertising firm, but wrote he was""kinda starting to 'dis-like' advertising .. i miss designing for designing.""He is a user of the Khatt Foundation network for Arab typography and some of his graphic designs were published in Arabesque (Berlin, 2007). He has a website where his portfolio may be seen including his 'first paintings ever.' In the fall of 2008 he was living in Vancouver (Canada) studying for a MA in media arts. He has since been producing video's which he shows on Youtube. They are about a.o. his mother and artist father and a Vancouver sword dance."
"Ahmed Felemban","http://www.greenboxmuseum.com/sa-ahmedfelemban.html","Ahmed Felemban is a Saudi art teacher and artist who studied in Italy and has been responisble for organizing exhibitions in Jeddah in the Italian Cultural Centre in co-operation with the Italian Consul General. Felemban went to Italy in 1967 and graduated from the Rome Academy in 1971."
"Ahmed Tayseer Badrah","http://www.greenboxmuseum.com/sa-ahmedtayseerbadrah.html","Ahmed Tayseer Badrah (1988) is a graphic designer, photographer and video blogger of Palestinian birth who lives in Jeddah and has studied in Malaysia. He shows some of his photographs like Tomato Potatoe Onion, which was taken in old Jeddah, in a gallery on deviantART."
"Ali Al-Ruzaiza","http://www.greenboxmuseum.com/sa-alialruzaiza.html","Ali Al-Ruzaiza (1947) is one of those rare artists who will paint even if there is no paint. He made it himself in the village where he was raised in the Al-Washim region and cut his own hair to make its brush. Don't ask when his work is finished. It never is. There is always more paint to be made. It is the creative impuls itself."
"Ali Al-Tokhais","http://www.greenboxmuseum.com/sa-alialtokhais.html","Ali Al-Tokhais (1956) is a sculptor by the incident of his birth in Al-Dawadmi. Al-Dawadmi, or 'The High of the Najd,' is a hill top town, west of Riyadh, where it is said that a tradition of sculpture has continued over the ages after introduction in the 15th century. They have been farming the rock is what comes to mind, if rock is indeed what the Najd hills are made off. Rock is the artist's preferred medium on which he concentrates striving for absolute proficiency. The result of this, the rock which went through his hands, mind, heart and fingers has been on show to the public in the Middle East and other countries around the globe at frequent exhibitions since 1985. A large selection of his works can be seen on his own website. And this website is worth visiting for another reason. Ali Al-Tokhais is a professor of sculpture and shows with pride pictures of his students with their work.Al-Tokhais has said that the Arabic alphabet is a silent influence in his work that by itself is abstract. But the abstraction is taken away again by contemplation while the rock is revealing its new form or perhaps as an afterthought. So the works of rock find themselves entrusted with titles which carry meaning. And sometimes, as is probabaly the case with Penetration, the rock is trusted with the nation itself.   "
"Amnah Alireza","http://www.greenboxmuseum.com/sa-amnahalireza.html","Amnah Alireza is the artistic director of the on-line textiles museum the Mansoojat Foundation. Some of the merchandise the museum offers on its website, she designed herself. A box of treasures, Hidden Beauty, can be found on a 'women beyond borders' website where she joins artists Safeya Binzagr and Reem Nazir. (October 3, 2009)."
"Awadh Al-Hamzani","http://www.greenboxmuseum.com/sa-awadhalhamzani.html","Awadh Al-Hamzani writes his challenge is to keep people's eyes as long as possible with his photographs. They are of images of nature: mosty in the region of Hail, and the innocent: children. On his website he shows in categories: horses, nature and stories. Sometimes in black and white. And sometimes of unstelling stories."
"Ayman Mahawi","http://www.greenboxmuseum.com/sa-aymanmahawi.html","Ayman Mahawi is a member of the women's Saudiaat Art Association in Jeddah. Arab News reported she participated in an exhibition in Jeddah in 2005."
"Ayman Yossri Daydban","http://www.greenboxmuseum.com/sa-aymanyossridaydban.html","Ayman Yossri Daydban is a Palestinian with a Jordanian passport who has lived most of his life in Jeddah. He has nothing to sell or decorate walls with in his studio. Instead he weeps in front of classic Arab movies in black and white from the 1940's and 1950's and he is said to do so nearly every night. So it was written for the Edge of Arabia event and illustrated with wooden tissue boxes on which the artist printed brightly coloured posters from these movies. To complete the emotional charge, the word for tissue in Arabic, Maharem, also stands for family. 'Family in a pan-arabic' sense or 'family' in a broader concept? The Greenbox Museum acquired a special edition of the work in wonder of the Elysian colours. The artist was chosen by Christie's for their April 2009 auction in Dubai and achieved the best result of all works by Saudi artists then on sale. (2009)."
"Badriya Nasser","http://www.greenboxmuseum.com/sa-badriyanasser.html","Badriya Nasser has no biography but three paintings exhibited at Arab Heritage Gallery in Al-Khobar."
"Bakr Sheikhoon","http://www.greenboxmuseum.com/sa-bakrsheikhoon.html","Bakr Sheikhoon is an artist who exhibited at the 6th Sharjah Biennial in 2003 two installations: The Popcorn Machine and The Vent Chambres."
"Baseem Al Sharqi","http://www.greenboxmuseum.com/sa-baseemalsharqi.html","Baseem Al Sharqi (Makkah, 1976) realizes that the Chinese sewing machine used by his grandmother is more a part of his heritage than the traditonal Saudi teapot or dalla. In the same way he believes that iconic western images have become relevant for the world as a whole. Using a style that fixed these images on the eyes of humanity, the Saudi pop artist Al Sharqi recycles them, such as the face of Italian Mona Liza, and adds to them from the Arab world. We may now choose to admire the features of Egytian actress Soad Hosny in the continuing vision of Andy Warhol. In 2009 the artist showed his work in Dubai in Art attack Gallery in a personal exhibition. 'To bridge the chasm of past and present,' was the stated aim of the exhibition called Mood."
"Basmah Felemban","http://www.greenboxmuseum.com/sa-basmahfelemban.html","Basmah Felemban (1993) is a graphic designer with the slightly loose touch that betrays the real artist. She landed her work Jeem in the British Museum at a sideshow to the 2012 Hajj exhibition and on her blog in December 2011 she was kind enough to allow the world a sneak preview of 'the making of Jeem' showing us how she wrestled with stencils to separate light and darkness on an octangular piece of wood, creating and image which looks like at least two works of art, intimately attached to each other for a fate of eternal friction. She mentioned online her interest in Islamic art and Jeem reflects exactly that, but even more so the work left us with the impression that the very best things might well happen outside the greater plan of known geometry. The people she most admires in the field of art? Leonardo da Vinci and Banksy. Felemban finished highschool in 2011 and describes herself now, for those who twitter, as an 'amateur artist.' An opinion with which we are inclined to strongly disagree, if not Da Vinci would have said exactly the same about himself. In her frequent writing on blogs she takes an interest in what other artists do and make. Her frank contribution 'Let the walls speak' for pan-arabic Mashallah News reported on the growth of street art in her country and made an interesting read. (2012)                                                         ***After writing the above, the artist informed us of the concept of Jeem, which is the first letter of both 'janna' (heaven) and 'jaheem' (hell). The artist based the design on each of the two squares in this octangular work on one of these words using the geometric kufi typeface creating a 'complex contrast' as they overlap. We would say she delivered her concept exactly right and trusted chance to help her deliver. (2012)"
"Bob Landry","http://www.greenboxmuseum.com/sa-boblandry.html","Bob Landry was the Life Magazine photographer responsible for the photograph of King Abdul Aziz (Ibn Saud) on the cover of the May 31, 1942 edition of Life, and probaby also for the photo used for the cover drawing of the March 5, 1945 edition of Time by Ernest Hamlin Baker. The image archive of Life which is hosted by Google at the link sourced below may be searched for his name to find that in 1942 he must have travelled by motorcar from the 'Persian' Gulf to Riyadh and from there to Jeddah and Mecca. His pictures are many of the palace architecture of Riyadh, the King's garage and mechanics, a welcoming well, a severed head on display of a man executed for robbing pilgrims, irrigation works, camel caravans, prince Faisal's tent at Arafat, pilgrims in Jedda etc."
"David Douglas Duncan","http://www.greenboxmuseum.com/sa-daviddouglasduncan.html","David Douglas Duncan (1916) was born in Missouri. As a staff photographer for Life magazine he has reported on Saudi Arabia in the late 1940s and early 1950s. One photograph of two Saudi men was included in the 1955 The Family of Man exhibition in Moma which was created by Edward Steichen. His 1982 publication The world of Allah includes images of Saudi Arabia like a November 1953 photo of Desert Nobleman Faisal and the First photograph of Abdul Aziz Ibn Saud as King of Saudi Arabia (1953). Another portrait is that of Old Abdullah, royal falcon master (1953). But perhaps is best claim to be in this dictionary is the title of his 1966 autobiographical book Yankee Nomad. It includes a 1948 picture of an oil gusher that was intentionally burned for Duncan."
"Dhafir Al-Hamsan","http://www.greenboxmuseum.com/sa-dhafiralhamsan.html","Dhafir Al-Hamsan is a traditonal painter of mural frescoes and canvas from the Asir region. In the town of Khamis Mushayt he runs a rebuilt traditional village as a tourist attraction."
"Dia Aziz Dia","http://www.greenboxmuseum.com/sa-diaazizdia.html","Dia Aziz Dia is a painter and sculptor from Jeddah who was one of the first to attend the academy of fine arts in Rome and resisted being for ever a full time teacher and ignoring the human face and the natural environment as a source of inspiration."
"Eman Jibreen","http://www.greenboxmuseum.com/sa-emanjibreen.html","Eman Jibreen is a female artist who showed work at a group exhibition at the French embassy in Riyadh in November 2008. They were boxes with black cloaked women on the outside and images of individuality on the inside. About the black she comments that it has never been a cover of their brains."
"Essam Jameel","http://www.greenboxmuseum.com/sa-essamjameel.html","Greenbox dictionary of Saudi Arabian artistsHome   Index"
"Fahda bint Saud","http://www.greenboxmuseum.com/sa-fahdabintsaud.html","Fahda bint Saud (1953) is a daughter of Saud bin Abdul Aziz, king of Saudi Arabia from 1953 to 1964. She sometimes contributes watercolours of Saudi women to exhibitions which have a feminist drive. She has also organized exhibitions herself to preserve her fathers memory and with a special interest in old photography."
"Fahd Al-Hijilan","http://www.greenboxmuseum.com/sa-fahdalhijilan.html","Fahd Al-Hijilan (1957) is a freelance painter since 1999. He is a member of the Fine Arts Advisory Committee of the Society of Culture and Art. He is also a founding member of several art groups in Saudi Arabia. In 2008 he showed work at the 11th Cairo Biennale."
"Fahd Al-Khalif","http://www.greenboxmuseum.com/sa-fahdalkhalif.html","Fahd Al-Khalif (1972) is a most generous of painters dealing with mostly the figurative world with all insights of Parisien abstraction from Cezanne to Matisse. And in this you can't help noticing how often he uses light blue, actually seems to adore the colour or to find it necessary. Al-Khalif is a true colorist not just painting the world but laying a reef of paintings over Jeddah as if he regrets that coral and fishes were left to the sea and below its surface and birds to the sky. As a master of art education and head of such education in north Jeddah his proficiency in handling oils and perhaps acrylic paint should be judged self evident, but surprising is how many paintings he shows in his presentation on facebook. They number hundreds and with consistency of vision and of life, sometimes changing the subject to calligraphy or horses. Occasionally Al-Khalif explores a naïve realism or his usual abstract style with more subdued colours. Some of his works appear to be wallpaintings by themselves or to have been assembled with square canvasses brought together to match. All these are styles and themes not unusual in the country, but Al-Khalif easily convinces as being master of any caravan.Al-Khalif mentiones many exhibitions in Jeddah and many in countries in Europe representing his country. Out of hundreds of his paintings I selected a few special images, which perhaps don't give an idea of his most frequent themes and style, but which celebrate the diversity and richness of Jeddah life as a result of its position as port to Makkah. (November 4, 2010)."
"Faisal Khudaidi","http://www.greenboxmuseum.com/sa-faisalkhudaidi.html","Faisal Khudaidi is an installation artist. In February 2009 he presented refrigerators with glass doors at the Jeddah Atelier of Fine Arts with images of history displayed in them. Somethings are worth it was said by Oasis Unedited to speak to Arabs to learn more from history."
"Faisal Samra","http://www.greenboxmuseum.com/sa-faisalsamra.html","Faisal Samra moves in front of a camera recording in black and white. We do not recognize him and only see a man's upper body from behind with a white sheet pulled over it. His face is and will remain hidden througout the performance. He nevertheless turns to face his viewers and picks up the loose ends of the sheet and starts winding them around his head. This goes on for a while with both or changing hands. When the sheet is all wrapped around the head and shoulders, he doesn't stop but continues only to wrap things differently and more firmly, sometimes passing stages that look like he has a bird's beak or is a severly wounded hospital patient. After a while he simply walks away with the sheet still in place. Such is the video installation Samra presents on his website as Distorted Reality (improvisation)."
"Fatma","http://www.greenboxmuseum.com/sa-fatma.html","Fatma is a traditonal painter of mural frescoes and canvas from the Asir region."
"Ghada Al-Hassan","http://www.greenboxmuseum.com/sa-ghadaalhassan.html","Ghada Al-Hassan was the winner of the 2008 Al-Khobar edition of Art Alive with the first of the two paintings D'Iroise I and D'Iroise II. BMG Foundation on their website about the event provide many pictures of guests and sponsers, but not a single one of the works of art."
"Haifa Al-Mutawa","http://www.greenboxmuseum.com/sa-haifaalmutawa.html","Haifa Al-Mutawa is a female photographer from Riyadh who sells her photos on both deviantART and her own website."
"Hala Ali","http://www.greenboxmuseum.com/sa-halaali.html","Greenbox dictionary of Saudi Arabian artistsHome   Index"
"Halla Bint Khalid ","http://www.greenboxmuseum.com/sa-hallabintkhalid.html","Halla Bint Khalid  is an author and illustrator of children's books in both Arabic and English, with her own publishing house: DarJerboa Children's Books in Riyadh. She is also an established painter and has since 1988 become experienced in many techniques, using oilpaint, watercolour, both dry and oil pastel, gouache and acrylic. Her paintings, of which we found images online, show her working in the realistic manner of a storyteller of the past and memory. We were charmed by a passing guard in front of the windows of a nineteen fifties automobile, with only partly visible on the back seat an image of former king AbdulAziz, who was given the nick name  'Al Shuyook,' because he was not only sheikh of his tribe, but as king also head of all tribes. On her facebook page the artist made it known that she made the painting using a model for the guard and that moving outside with the model, having him stand in the sun, added to her grasp of reality, when his eyes and face reacted to the sun. Another realistic image made by the artist, which could be seen on her facebook page, is of a portrait of a man whom she describes as the 'milk brother and chaperone' of her mother. (2012)"
"Hana Hajjar","http://www.greenboxmuseum.com/sa-hanahajjar.html","Hana Hajjar is a female cartoonist with Arab News. In 2007 there was an exhibition of her work in Jeddah."
"Hanan Al-Faisal","http://www.greenboxmuseum.com/sa-hananalfaisal.html","Hanan Al-Faisal is a painter who exhibited more than 100 paintings at the International Arts Gallery in Jeddah in March 2009."
"Hanan Abdullah Bahamdan","http://www.greenboxmuseum.com/sa-hananbahamdan.html","Hanan Abdullah Bahamdan (1966) is a painter who has started exhibiting at home in Riyadh but has later moved to Egypt and London, where she mostly works on portraits. In Egypt she studied pastels with Muhammad Sabri and showed her work in the Opera gallery in Cairo. The exhibition was jointly openend by two Saudi diplomats. In a 2007 Sotheby's auction her painting Mannci (The Forgotten) of an Egyptian working class man was sold for many times the estimate. Bahamdan is quoted to have said that in her paintings she focusses on some of the many people 'we' usually pass and not stop to look into."
"Hani Al Ghayhab","He","http://www.greenboxmuseum.com/sa-hanialghayhab.html"
"Hani Alireza","http://www.greenboxmuseum.com/sa-hanialireza.html","Hani Alireza works in Jeddah and is a user of the Khatt Foundation Network for Arabic Typography on which he writes that he is a visual communicater in different fields and media. After graduating from the American University of Dubai he has worked in advertising as a graphic designer and for a television network (MTV Arabia) as a promo producer."
"Hend Al-Mansour","http://www.greenboxmuseum.com/sa-hendalmansour.html","Hend Al-Mansour (1956) is an installation artist who works often with silk screen prints. She was born in Hofuf in Saudi Arabia and emigrated to the U.S.A. in 1997 after a career in medicine. She has a master of fine arts from Minneapolis College of Art and Design (2002) and lives in St. Paul, Minnesota."
"Huda Totonji","http://www.greenboxmuseum.com/sa-hudatotonja.html","Huda Totonji might exist in an imagined space somewhere in between Washington and Jeddah. This is a space where masculine poetry is mastered by learning and examination and from where travel is possible in both directions. In Jeddah the artist may land herself as a philosophical doctor of visual technology and in Washington she may arrive as a true master of calligraphy. She has earned both these qualifications. The artist-researcher and teacher will not have herself pinned down in a single category. She 'chooses to bounce between image and text,' is what she writes on her website, and to this should be added that she believes good restaurants should manage to serve a large menu. Her art ranges from painting in several genres, such as portrait, landscape, still life and calligraphy, to mixed media installations and performances. In none of it however she will represent women 'physically' as was often done in the history of western figurative art. Her George Mason University master thesis installation Birdwatcher (2004) seemed to mock such orientalist paintings as Ingres's Grande Odalisque or anything of the like by Matisse and other artists who are central to the western canon of art. In fact Orientalism itself might qualify as 'birdwatching' if you come to think of it. Huda Totonja would have disappointed the oriental minded gentlemen in their London and Parisian chambers and clubs. Her giant birdcage was empty and only feathers and hairpins were left for such eager-to-collect and very civilised men. So was it about Iraq and Afghanistan? The artist probably never intended it to be like that. But, whoever thought that there would be a giant bird of wings, bones and flesh to be caught in that war, might have better reviewed Totonja's empty cage first. This is what she says: that the female vision is central to what she makes."
"Hussein Al-Mohasen's","http://www.greenboxmuseum.com/sa-husseinalmohasen.html","Hussein Al-Mohasen's (1971) expressionist paintings are extraordinary colourful and where with Pollock you may end up with a vision of a late universe by night, with Mohasen you arrive closer to the big bang and on one of the very first days. Nevertheless, the artist realizes with full modesty the limits of his ability, when it is said that he paints to music, sometimes jazz, and that his real wish is to tell stories. Blue Stories, such was the name of an exhibition of his work in Al-Khobar in 2007. So he is a dancer of the ballet in which, as in the French cuisine and medieval warfare, one knows: the men jump higher than the women. "
"Jamal Al Kebasi","http://www.greenboxmuseum.com/sa-jamalalkebasi.html","Jamal Al Kebasi (1950) is a calligrapher of rank who lives in Al Jubail and has many people on facebook who submit to the quality of his work. Kebasi shares on the web an album of his art and many pictures of himself at international exhibitions of the art of calligraphy. As a researcher he wrote The Creative Design in the Kufi Calligraphy. That the artist thinks such a scientific endeavour is of the highest rank, one may conclude from the second illustration here. It has architectural qualities. The first illustration I find, not being able to read the Arabic, to look more as an organic creation."
"Jowhara Al-Saud","http://www.greenboxmuseum.com/sa-jowharaalsaud.html","Jowhara Al-Saud (1978) is one of those people who have lived 'out of Jeddah' in America. In Massachusetts she was thoroughly educated in the arts and most interestingly started with film theory to end with mixed media at the school of The Museum of Fine Arts in Boston. Presently her American home appears to be New York.Al-Saud's work can be seen on her own website and on sites of several galleries in London, New York and soon in Berlin and even Amsterdam. Of these websites only the artist's own site allows us to have a look at older work like White Trash Barbie and a harrowing fantasy of Orlando Barbie murders in what looks like a set designed for the Thunderbirds starring in a Hitchcock movie."
"Kameel Hawa","http://www.greenboxmuseum.com/sa-kameelhawa.html","Kameel Hawa is a Lebanese graphic designer who is director of the Jeddah based Saudi design house Al-Mohtaraf Assaudi. In 2005 in Al-Mohtaraf's Beirut studio he designed a font type by the name of Midan."
"Khaled Al-Faisal","http://www.greenboxmuseum.com/sa-khaledalfaisal.html","Khaled Al-Faisal is a painter of the romantic style who seems to enjoy his art as a pastime. As the emir of Makkah he will realise that creation painted the birds infinitively better than his abilities allow him, but as a prince he knows that the discovery of flight was only achieved by drawing birds and observing the structure of their wings. Al-Faisal's importance for the arts of Saudi Arabia lies not in his art - his simple landscapes are the best - but in his unmitigated support for other artists during his long tenure as governor of the Aseer region. Al-Faisal has established a painting relationship with a British prince who cherishes the traditional arts. Considering the mindset of his court at Abha a comparison with Italian princes of the Renaissance seems to do Al-Faisal better justice.(20 June 2010)"
"Khalid Al-Harbi","http://www.greenboxmuseum.com/sa-khalidalharbi.html","Khalid Al-Harbi from Riyadh is a creative photographer who shows work on his personal website since 2006. There is no pretence, but for his belief in the memory of a concentrated eye. His photos are mostly of landscapes, plant and animal life. In a few instances he tries a little to enhance his images and to jump the line between photographic memory and autonomous art. A repeted focus on single flowers may be his favourite form of worship."
"Khalid Khidr","http://www.greenboxmuseum.com/sa-khalidkhidr.html","Khalid Khidr is a well known Saudi photographer who from the late 1970s has captured images of the Saudi royal family and the holy sites at Makkah and Madinah as well as the development of the other cities of Saudi Arabia. He has published several books such as a book with aerial photographs of Taif and has co-operated with foreign photographers. With John French he pictured old and new Jeddah in the early 1980s."
"Lina Gazzaz,","http://www.greenboxmuseum.com/sa-linagazzaz.html","Lina Gazzaz, who was raised in the holy city of Makkah, was a creative consultant in advertising, who ventured on defining a new style of Islamic art by painting it herself. To show loyalty and admiration for the prophet Muhammad, this is what she aims for in her paintings of his mosque in Madinah. They were exhibited in Jeddah's International Fine Arts Hall in 2008. Gazzaz is said have made them with 'broad strokes of love and reverence.' Apart from this important mosque and other buildings she paints portraits and figures and even adventured into painting a reclining female 'kind of' nude, which, for the lack of feet or a full head, would fit nicely in any program the Louvre might have to show Michaelangelo's Slaves in a warm Arabian bed."
"Lulwah Al-Homoud","http://www.greenboxmuseum.com/sa-lulwahalhomoud.html","Lulwah Al-Homoud is designing a new path from the roots of our earliest thinking to the present and, who knows, the end or a final idea. She does so without talking and without the help of preachers or diplomats. She simply uses mathematics, Islamic mathematics and mathematics which were there already, to recalculate the essential words of creation. 'She calls it The Language of Existence,' somebody wrote, so it is, if she did so. Its alphabet exists of the 99 most beautiful names of Allah, which Al-Homoud is 'deconstructing and recallibrating' into patterns reminicent of Islamic geometry. The new patterns interestingly include, from the moment of the first human cell devision, all brothers born before and after Abraham. So we see, believe and calculate her work."
"Maha Al-Khalawi","http://www.greenboxmuseum.com/sa-mahaalkhalawi.html","Maha Al-Khalawi (1982)is a name you will find on a card sent to you because of Ramadan or other days of Islamic obligation and celebration. She is a graphic designer connected to the world in the Khatt Foundation network for Arabic Typography. There she also posted a cartoon, which she made as a freshman, showing four moments in a day of an average Saudi man. After work, traffic jams, behind a pick-up truck with sheep, and avoiding wife and children, the man relaxes among other men with waterpipe, stories and cards. There is also an icon she made of herself, wearing sunglasses, in a grafitti stenciling workshop. The grafitti stencil is only the second selfportrait, by a Saudi living in Saudi Arabia, which I discovered. The other being that of Dia Aziz Dia. More of Al-Khalawi's work can be seen on the Khatt network and she is there because simply:""I love design. I find Arabic and Bilingual design even more facinating.""An 'Eid Mubarak' card she designed for Oasis Magazine arrived today on this editor's desk. (October 3, 2009)"
"Maha Malluh","http://www.greenboxmuseum.com/sa-mahamalluh.html","Maha Malluh is an artist, born from the traditional region of Najd, who has met the challenges of modernity that have come so overwhelmingly to Saudi Arabia. She has exhibited her art since 1976 and has in later years acquired a BA in English literature and a Californian certificate in design and photography."
"Mahdi Al Jeraibi","http://www.greenboxmuseum.com/sa-mahdialjeraibi.html","Mahdi Al Jeraibi (1969) works as an art teacher in Mecca where children write and scratch, but hardly draw on their school desks. Really, I wondered: who or what for 25 years made these children not mix rabbits and automobiles with their doodle writing and daydream scratching? It is what we should do: wonder and ask. It is the artist who wants us to. About the school desks which he collected and presented as readymades for the audience to place on a wall. 'ALL WERE HERE,' it read about the desks and note that the exhibition was in Jeddah and not in Mecca. The artist wants dialogue about our memories. He presumes we can do so in a Socratic manner, disagreeing and convincing each other, using points of reference which work for us all. He wants us to explain and argue about traces of our past, which he simply picks up from the floor or out of the school's backyard. In a way he wants us to go back in time as if we were to cut off our hair; and then he will collect it and remind us that we will grow it back again, unable to change its colour or substance. It changes only slowly with the passing of generations. So is there no point in painting it for any future? Actually there is. Dark haired people who paint their hair blond, lure their partner's blond hair genes into changing direction. So I read somewhere in a scientific paper. In the end the dialectic argument aims to convince. But on the rational level, in the educated world, in the world of Mahdi Al-Jeraibi, in the world of Saudi Arabia's first conceptual artist, we should be optimistic about the potential of art to achieve faster results. Convincing in Al Jeraibi's Mecca is possible on, well, a moments notice, simply by listening and allowing yourself to be convinced. Of his art perhaps. Of his sombre Zincographs which are as far removed from golden palms in Dubai hotels as one can possibly imagine. They are of the moon, rather than of the sun - there is no real zinc involved -  shining a dark light on the crossing over of religious rituals of pilgrims, superstitions which survive in Mecca and a fear we have of a know known future of using DNA to recreate. The Zincographs are sculptered paintings: large wooden frames in which the artist has fixated hair he has collected of a variaty of people in a thick plate of hot wax. They are reminicent of ancient Egyptian wax portraits to a conceptual mind only. The hair he used he collected both from anonymous pilgrims - beware of Mecca barbers selling clones - and from individuals he knows well and managed to convince. As one of them is said to be his wife, there is a question that arises in the mirror of memories. Will Al Jeraibi, when his wife's hair is eventually used to clone, be the first Pygmalion to have succeed in giving true life himself to a women of his perfect imagination? We should grant her that. The artist himself is the object of imagination too. The Foundation Al Mansouria who has supported him against the dragons of misunderstanding and disinterest has put him forward as a 'model for the quest of the young and serious.' We should grant them that too. (September 30, 2009)."
"Manal Al-Harbi","","http://www.greenboxmuseum.com/sa-manalalharbi.html"
"Manal Dowayan","http://www.greenboxmuseum.com/sa-manaldowayan.html","Manal Dowayan (1973)from Dhahran is not the only artist who has enjoyed looking at boats moving on an Amsterdam canal as is evident in her photo series Summer. She is surely, however, the only such artist who can and will say: I am a citizen of Saudi Arabia, not speaking on her own behalf, but informing the world of her private experiences in the general context of being a professionally working woman in Saudi Arabia. She does so with several series of black and white photographs of women she meets dealing with their Saudi heritage and daily life. I am a Mother and I am a Petroleum Engineer are self evident titles in her I am series. Dowayan, being a freelance photographer with an education in information technology, works for an oil company. She is now its creative director. In her series Beyond the veil and The Choice again women pose in front of Dowayan's camera. The choices Dowayan deals with are not mentioned but shown and numbered. The Choice V shows, for example, a woman in traditional dress holding a tennis racket. Or in Choice II, perhaps the most daring in terms of the question it seems to ask, a female hand holds a pen which has just crossed out a word on a page full of repetition. Her photographs are very popular with collectors, is what I was told by Edge of Arabia, in which exhibition she participated in both London (2008) and Venice (2009). A The Choice photo of a Saudi woman holding a steering wheel was printed in Dutch magazine Kunstbeeld as an iconic image of the exhibition, providing well for the notions people have in the Netherlands about Saudi Arabia. But, one should also have a look at her close up of feet dancing in Spanish Scenes and admire simply the elegant black and white forms beyond any context of meaning; fingers that fly like swans and do not point to any future. On the future of art in Saudi Arabia however, Dowayan has sound ideas which she expressed in Arab News. She told the paper that there should be more patronage of the arts in the Kingdom itself and not just by a government system of prizes. The country needs homegrown private foundations to sustain the arts and crafts. Says Manal Dowayan, who listens well to King Abdullah. The custodian of mosques said of Saudi women: that they are citizens of Saudi Arabia. And some of them even travel to Amsterdam. (2009)."
"Moayad Hakim","http://www.greenboxmuseum.com/sa-moayadhakim.html","Moayad Hakim (1981) was born into a creative family in Medina. He studied both in Medina, Billings ( Montana) and in Cairo at the Faculty of Art Education of Helwan University. He appears to be in the first place a draughtsman, using one of his own drawings of a pen as the coverphoto of his artist page on facebook. The most realistic and finished drawing posted by him on internet enjoys the perspective on his own hands and a prayer rug with an image of religious architecture. Fantasy and metamorphosis rule the design of many of his other drawings and sketches in which animals and antropomorphic forms grow unexpectedly out of each other or out of  physical objects (2012)."
