Name,FirstParagraph
Manal Dowayan,"Manal Dowayan (1973)from Dhahran is not the only artist who has enjoyed looking at boats moving on an Amsterdam canal as is evident in her photo series Summer. She is surely, however, the only such artist who can and will say: I am a citizen of Saudi Arabia, not speaking on her own behalf, but informing the world of her private experiences in the general context of being a professionally working woman in Saudi Arabia. She does so with several series of black and white photographs of women she meets dealing with their Saudi heritage and daily life. I am a Mother and I am a Petroleum Engineer are self evident titles in her I am series. Dowayan, being a freelance photographer with an education in information technology, works for an oil company. She is now its creative director. In her series Beyond the veil and The Choice again women pose in front of Dowayan's camera. The choices Dowayan deals with are not mentioned but shown and numbered. The Choice V shows, for example, a woman in traditional dress holding a tennis racket. Or in Choice II, perhaps the most daring in terms of the question it seems to ask, a female hand holds a pen which has just crossed out a word on a page full of repetition. Her photographs are very popular with collectors, is what I was told by Edge of Arabia, in which exhibition she participated in both London (2008) and Venice (2009). A The Choice photo of a Saudi woman holding a steering wheel was printed in Dutch magazine Kunstbeeld as an iconic image of the exhibition, providing well for the notions people have in the Netherlands about Saudi Arabia. But, one should also have a look at her close up of feet dancing in Spanish Scenes and admire simply the elegant black and white forms beyond any context of meaning; fingers that fly like swans and do not point to any future. On the future of art in Saudi Arabia however, Dowayan has sound ideas which she expressed in Arab News. She told the paper that there should be more patronage of the arts in the Kingdom itself and not just by a government system of prizes. The country needs homegrown private foundations to sustain the arts and crafts. Says Manal Dowayan, who listens well to King Abdullah. The custodian of mosques said of Saudi women: that they are citizens of Saudi Arabia. And some of them even travel to Amsterdam. (2009)."
Marcel  Schwierin,"Marcel Schwierin is a curator and a filmmaker who was born in Germany in 1965. He studied photography, filmmaking, film history, politics and aesthetics. He is co-founder of the Werkleitz Biennial and the experimental film database cinovid. His films include The Images (experimental found-footage, 1994) and Eternal Beauty, a feature length essay on the film aesthetics of the Third Reich (2003). His curatorial projects since 1993 include the Max-Ophüls-Festival, the International Short Film Festival, Oberhausen and transmediale, among others. He was artistic director of the Werkleitz Festival projects Amerika 2008 and Arab Shorts 2009 and 2010. His curatorial projects in 2011 include Sync:Existence, a film and video programme for transmediale.11, Shooting Animals – A Brief History of Animal Film, for the International Short Film Festival Oberhausen, and Zoo for the Werkleitz Festival."
Marcel Odenbach,"Marcel Odenbach was born in Cologne, Germany in 1953. He studied architecture, art history and semiotics at the Technische Hochschule, in Aachen, Germany, between 1974 and 1979. He has taught media art at several institutions in Germany including, Staatliche Hochschule für Gestaltung, Karlsruhe and Kunsthochschule für Medien, Cologne, and Kunstakademie, Düsseldorf. He currently lives and works between Cologne and Biriwa, Ghana."
Mariam Ghani,"Mariam Ghani uses video, installation, performance, photography and text to explore notions of place, identity, community and history in work that often has an aspect of public dialogue or engagement."
Marie-Hélène  Cauvin,"Marie-Hélène Cauvin’s innovative paintings and prints explore imaginative spaces, both real and symbolic, and her recent work explores themes such as violence and insecurity in contemporary societies. Her solo exhibitions include Portrait (2009), Les Ateliers Jérôme, Pétion-Ville, Haiti, Obra sobre papel (2007), Instituto Peruano Norteamericano, Lima, Crossroads (2003), Harvard University, David Rockefeller Center for Latin American Studies, Cambridge, Massachusetts. She recently participated in Dialogue among Civilizations, Art for Humanity, Durban (2010). She lives and works in Montréal."
Marilou Lemmens,"Since 2002, Richard Ibghy and Marilou Lemmens have developed a research-based practice that includes the production of art works, contributions to publications and lectures as well as frameworks for exhibitions."
Mario Rizzi,"Mario Rizzi was born in Italy and is now based in Berlin, Germany. He studied classics and psychology before turning his attention to photography at Ecole de la Photographie, Arles, France and the Slade School of Fine Arts, London, UK."
Mark Lombardi,"Lombardi completed a BA in Art History at Syracuse University in 1974. In 1994 he made the first of his large diagrammatic drawings that chart underhand connections between numerous figures involved in political and financial scandals. These scandals were researched by Lombardi in an exhaustive manner and stored in an extensive filing card system. Lombardi described his charts as ‘narrative structures’, ordering the complex facts of a scandal into a coherent whole and given logic by visual presentation in a manner reminiscent of corporate flow charts and systems diagrams. Lombardi came to public attention by his inclusion in a group show at the Drawing Center, New York (1997), and had his first solo exhibition, Silent Partners at the Pierogi 2000 gallery in Williamsburg (1998). A posthumous travelling exhibition and catalogue entitled Mark Lombardi: Global Networks (2003–2005) was organized by Independent Curators Inc."
Marwa Rustam,"b. 1986, Manama, Bahrain"
Marwan Kassab Bachi  /nhttp://www.daratalfunun.org/main/resourc/exhibit/marwan/marwan.html,"""Marwan paints images of human beings, very subjective images, never individual portraits. The person portrayed is always exemplary, unique and anonymous all at once. Such images… reveal a crisis of identity, [but] they also expose its contrary: an identity with consciousness and feelings, an identity with the world. Marwan’s paintings question life and ego, touch upon the secret, and circle about it, reflecting it. Emerging in his paintings as a vision – as a""face""- the secret, disappearing, proclaims itself, vanishes. There to be seen, it again withdraws.""/n"
Marwan Rechmaoui,"Beirut, capital of Lebanon and the scene of unceasingly renewed conflicts, undoubtedly constitutes the cornerstone of the last works of Marwan Rechmaoui. Along his works, he exposes the extremely complex social and political geography of his city."
Marwan Rechmaoui,Born in Beirut in 1964 Marwan Rechmaoui is best known for a series of sculptural works that replicate buildings and topography.
Matt Saunders,"Matt Saunders merges photography, painting and rotoscope animation to create uniquely processed and multilayered works that evoke cinematic iconography and celluloid history. His most recent solo shows were at the Renaissance Society (2010) and the Harris Lieberman Gallery, New York (2010). He has participated in numerous group exhibitions including at the Museum of Art, University of Michigan (2009), MoMA, San Francisco (2008) and the Deutsche Guggenheim, Berlin (2008). Saunders was the recipient of a Louis Comfort Tiffany Foundation grant in 2009. He lives and works in Berlin."
Matthew  Barney,"b. 1967, San Francisco, California, USA"
Mehran Mesbah,"Mehran Mesbah was born in 1980 and resides in Sacramento, California. Like many Iranians at the time, Mehran’s family left Tehran in 1978 seeking a better future in California. After studying abroad in Canada and France, Mehran received his B.A. in painting from Walla Walla University, and later, a M.A. in Studio Art from California State University, Sacramento where he now teaches drawing."
Mehrdad Mohebali,"Born 1960, Tehran, Iran"
Melik Ohanian,"Melik Ohanian was born in France in 1969. He lives and works between Paris and New York, USA. He studied at the Ecole des Beaux-Arts de Montpellier and the Ecole Nationale des Beaux-Arts de Lyon in France."
Melissa Chimera,"Artist and conservationist, Melissa Chimera’s participation in the 2009 Sharjah Biennial was part of a joint project with her mother, the poet Adele NeJame."
Meriç Algün Ringborg,"Meriç Algün Ringborg (b.1983, Istanbul) lives and works in Stockholm, Sweden. She received her BA in Visual Arts and Visual Communication Design from Sabanci University, Istanbul (2007) and her MFA from Royal Institute of Art, Stockholm (2012). In her work, she employs a variety of media including printed matter, photography, sound and installation; mainly focusing on the themes of nationality, borders, translation, bureaucracy and home."
Michael Rakowitz,NA
Miki Kasahara,"b. 1988, Nara, Japan"
Milica  Tomić,"Milica Tomić was born in 1960 in Belgrade, where she currently lives and works. Her work centres on issues of political violence, memory and trauma, with particular attention to the tensions between personal experience and media constructed images. She is one of the founding members of the Monument Group active since 2002."
Minouk Lim,"Minouk Lim (b. 1968, Daejeon, Republic of Korea) lives and works in Seoul. Her most recent solo exhibitions include Perspectives: Minouk Lim, at the Smithsonian Institution’s Arthur M. Sackler Gallery in Washington DC (2012); and Minouk Lim: Liquide Commune at PKM Gallery in Seoul (2011). Group shows include Melanchotopia and Morality, Act IV: Remembering Humanity, Witte de With Center for Contemporary Art, Rotterdam (2011 and 2010); City Within the City, Artsonje Center, Seoul (2011); Touched at FACT, Liverpool Biennial (2010); and Trust, Media City Seoul (2010). Lim was also the recipient of the 1st Media Art Korea Award (2010) and the Hermés Korea Foundation Art Prize (2007)."
Moataz Nasr,"Moataz Nasr is a versatile artist who employs painting, sculpture, photography and video in order to create installations which allow the viewer a great freedom to explore. His work borrows deeply from his native Egypt. He endeavours to describe a universal phenomenon which impacts people all over the world, wherever they come from: the spread of such afflictions as solitude, impotence against the changes which are rushing ahead, to an acute feeling of abandonment. Moataz Nasr, by an elegant and poetic approach really takes up the position as an observer of the far-reaching transformations which are affecting the contemporary world, and his numerous references to traditional culture only serve to underline these issues."
Moataz Nasr,"Moataz Nasr was born in Alexandria, Egypt in 1961, and currently lives and works in Cairo. A self-taught artist with an academic background in economics, Nasr gained local recognition after receiving several awards, notably the Grand Prix at the International Cairo Biennial (2001). In 2008, Nasr founded Darb 1718, a contemporary art and culture centre in Old Cairo."
Moayad Hakim,"Moayad Hakim (1981) was born into a creative family in Medina. He studied both in Medina, Billings ( Montana) and in Cairo at the Faculty of Art Education of Helwan University. He appears to be in the first place a draughtsman, using one of his own drawings of a pen as the coverphoto of his artist page on facebook. The most realistic and finished drawing posted by him on internet enjoys the perspective on his own hands and a prayer rug with an image of religious architecture. Fantasy and metamorphosis rule the design of many of his other drawings and sketches in which animals and antropomorphic forms grow unexpectedly out of each other or out of  physical objects (2012)."
Mohamad Rahimi,"Born in 1980, Tehran , Iran"
Mohamed Abdelkarim,"b. 1983, Minya, EgyptLives and works in Cairo, Egypt"
Mohamed Ali  Fadlabi,"b. 1975, Omdurman, Sudan"
Mohamed Bourouissa,"Since 2002, Mohamed Bourouissa has been developing a fine art photography practice but also drawing and video works deeply rooted in social reality. Primarily working around representations of a contemporary urban environment, the artist is interested in geographical and social spaces usually represented by stereotypes. Suburbs (Périphérique, 2005-2008), prison (Temps mort, 2009) or television (the Ecran series, 2007)."
Mohamed El Mahdaoui,"Mohammed El Mahdaoui was born in 1981 in Tiznit, Morocco, where he lives and works today. He graduated from the Institut National des Beaux-Arts de Tétouan, Morocco, in 2007. His work deals with performances,"
Mohammed Al Ghamdi,"Mohammed Al Ghamdi (b. 1959 in Al Baha) holds a degree in Aviation Engineering from California, USA. His experience with art long precedes his engineering qualifications but drew on it with his knowledge of materials."
Mohammed Al Ghamdi,"Mohammed Al Ghamdi (b. 1959 in Al Baha) holds a degree in Aviation Engineering from California, USA. His experience with art long precedes his engineering qualifications but drew on it with his knowledge of materials."
Mohammed Kamel,"Mohammed Kamel (1989) used to sign his graffiti as 'Lion heart' by drawing a lion and a heart. The courage to do unusual things, is what is name stood for, but he didn't really need a name. His friends would recognize him for the quality of his work. An artist should convey a message, is what he told Saudi Gazette on winning a prize in 2009 at an organized event of 250 graffiti enthousiasts. Colour sprays only, is how Kamel defines graffiti even though he suggests a historical line back to hieroglyphics. His winning work was a window for an elderly man coming from the past to see - or should it be understand - the changes of his time."
Mohammed Kazem,"Mohammed Kazem (b. Dubai, 1969) has developed an artistic practice that encompasses video, photography and performance to find new ways of apprehending his environment and experiences. The foundations of his work are informed by his training as a musician, and Kazem is deeply engaged with developing processes that can render transient phenomena, such as sound and light, in tangible terms. Often positioning himself within his work, Kazem responds to geographical location, materiality and the elements as a means to assert his subjectivity, particularly in relation to the rapid pace of modernisation in the Emirates since the country’s founding."
Mohammed Kazem,"Mohammed Kazem was born in Dubai, UAE, in 1969. A trained musician as well as an artist, Kazem studied painting at the Emirates Fine Arts Society, in Sharjah, UAE, attended Al Rayat Music School, in Dubai, and recently received his MFA at the University of the Arts, Philadelphia, PA. A pioneering conceptual artist, influenced by his close friend and mentor Hassan Sharif, his work touches on current global transformations in the social, political, and natural environments, and explores abstract ideas about the body, movement, space, and the natural elements. Kazem often works on simultaneous projects over extended periods of time, observing the transformations of his surroundings and the effects of time. In his photographic series Photographs with Flags, Kazem photographs himself next to flags in the desert that mark imminent construction projects, the artist’s body and physical presence bearing witness to the social and environmental change about to occur. Similarly, Kazem’s Window series documented the construction of a high-rise building from his window over the course of two years, as it slowly began to block his view and even the sky. Even within his iconic scratch paintings, time, space, and the body are all present. Since 1990 Kazem has been scratching the surface of paper in varying abstract compositions, capturing and incorporating sound, light and movement embodied on the page, which also changes and is dependent on the changing light of its surroundings.‘I am fascinated by collecting and documenting information about seemingly unimportant objects, traces of our present, within a particular environment,’ the artist writes."
Mohammed Makki,"Born 1988 in Jeddah, Saudi Arabia"
Mohsen Ahmadvand,"Born in 1982, Tehran, Iran"
Mona Hatoum,NA
Mona Hatoum,"Mona Hatoum was born in 1952 in Beirut, Lebanon. She studied at Beirut University College (1970-72) and settled in London in 1975, attending the Byam Shaw School of Art (1975-79) and the Slade School of Art (1979-81). Since 1983 Hatoum’s work has been exhibited in public institutions around the world including solo exhibitions at Centre Pompidou, Paris (1994), Museum of Contemporary Art, Chicago (1997), The New Museum of Contemporary Art, New York (1998), Castello di Rivoli, Turin (1999), Tate Britain, London (2000), Hamburger Kunsthalle, Kunstmuseum Bonn, Magasin 3, Stockholm (2004) and Museum of Contemporary Art, Sydney (2005), Parasol Unit, London (2008), Darat Al Funun, Jordan (2008) and Fondazione Querini Stampalia, Venice (2009). Hatoum has held teaching positions in London, Maastricht, Cardiff, and at the Ecole des Beaux Arts in Paris. Public collections of her work include the Museum of Fine Arts, Boston; Israel Museum, Jerusalem; Tate Gallery, London; The Museum of Contemporary Art, Los Angeles; The Museum of Modern Art, New York; Astrup Fearnley Museum of Modern Art, Oslo; and Kunsthaus, Zurich. Recent solo exhibitions include Bourj at Alexander and Bonin, New York (2011), Bunker at White Cube, Mason’s Yard, London (2011), and Witness at the Beirut Art Center (2010). Mona Hatoum is represented by White Cube, London."
Mona Hatoum,"Hatoum’s work is an outstanding example of the interweaving of ethical, political and aesthetic issues, whose beauty lies in the wit, economy, risk-taking and even mischief-making with which these issues are conflated . . . .In Hatoum’s deceptively simple works, defiance cannot easily be separated from vulnerability, order from chaos, beauty from revulsion, the brain from the body, the self from the other, affirmation from negation, form from content, light from dark."
Mona Marzouk,NA
Monika Börgmann,German born Monika Börgmann studied Arab philology and political sciences in Bonn and Damascus.
Monir Shahroudy  Farmanfarmaian,"b. 1924, Qazvin, Iran"
Monir Shahroudy Farmanfarmaian,"Monir was born in Qazvin, Iran, in 1924, where she studied Fine Arts at the Tehran University. She was one of the first Iranian students to travel to the United States after World War II where she completed her studies at Cornell University. Having graduated from Parsons School of Design in 1949, she became a Member of the New York Art Students' League (1950-53)."
Morteza Ahmadvand,"Born in 1981, Khoram Abad, Iran"
Mostafa Choobtarash,"Mostafa Choobtarash was born in 1983 in Tehran, Iran. He holds both Bachelor and Masters degrees in painting from the Azad and Soureh Universities of Tehran. Mostafa’s work has been extensively exhibited in Iran since 2004, visiting a wide variety of galleries. Choobtarash’s work has a similar approach to graffiti art with traits such as sharp criticism, protest, humour and even destruction. The main theme of his paintings give one the impression that all the depicted historical, political and social characters, events, elements and symbols, have been attacked by a humorous blow, relieving the audience from their heavy load and allowing them to see the scenes in a comical manner."
Mostafa Darehbaghi,"Born in 1966, Tehran , Iran"
Mouna Karray,"Born in Sfax (Tunisia) in 1970, Mouna Karray studied cinema and photography in Tunis (1989-1993) and in Tokyo (1997-2002). During her time in Japan her work followed an autobiographical route, with notably the series Tokyo my Love (2001) and Identity at Stake (2002, current). The artist has also taught photography and curated exhibitions In Tunisia. She has been received as resident at the Centre d’Art Vivant at Rades (Tunisia) in 2004, at the Cite Internationale des Arts (Paris) in 2005, and at the Civitella Ranieri Foundation (Umbria, Italy) in 2007."
Mouna Karray,"The photographer Mouna Karray strives to make places and everyday objects “speak”. Should her chosen medium halt “at the surface” of things ontologically, the artist seeks to restore the complexity of the spaces that she encounters (be they domestic or urban, private or public) by going beyond superficial appearance and definition. In order to document the” real”, but above all to make the sense and identity of it apparent, the artist works in series. This exploratory method allows for expansion: from motivation to context, from anecdote to memory. On several occasions, in order to tackle the sensitive territory of the personal, Mouna Karray has expanded into other media: for example in the installation El’mech’ed, 2004 and the sound piece An object on the Shore, 2007."
Mounir  Al-Shaarani,"b. 1952, Al Salamiya, Syria"
Mounir Fatmi,"Mounir Fatmi was born in 1970 in Tangier, Morocco and now lives and works in Paris, France. Fatmi’s multimedia practice, encompassing video, installation, drawing, painting and sculpture,  has been exhibited at major international institutions including the Museum Kunst Palast, Düsseldorf, Centre Georges Pompidou, Paris, and Tate Modern, London. He has participated in several biennials including Venice, Seville and Sharjah. In 2010 he was awarded the Cairo Biennial Prize. Mounir Fatmi is represented by Paradise Row, London; Galerie Hussenot, Paris; and Lombard-Freid Projects, New York. www.mounirfatmi.com"
mounir fatmi,"mounir fatmi’s installations, sculptures, videos, photographs, paintings and drawings audaciously tease and confront proprieties. He questions, plays and provokes with caustic insolence, taking on notions of power, and all kinds of extremism; the religious, the political, as well as their means; architecture and media.He selects rather basic materials, often on the verge of extinction (as with the VHS cassettes and the coaxial cable), yet as seen with the saw blades or wooden horse jumps, they always elicit relevant connotations. Although aesthetically very seductive, mounir fatmi’s work offers a look at the world from another angle, refusing to be blinded by conventions."
Mounira Al Solh,"The work of Mounira Al Solh is playfully conceptual. Al Solh makes videos, installations, magazines, photographs, paintings and performances. Starting from the personal, or the autobiographical, the work stretches to open up specific micro-social and micro-aesthetic questions, masking back and concealing the personal and the autobiographical. She frequently reflects on specific artworks, by appropriating them and studying them carefully, and often metamorphoses into other characters, such as various other “selves”. In Past of the Coming Days, the Sharjah Biennial (2009) Performance & Film Programme she presented The Sea is a Stereo, an ongoing project comprising video and installation."
Muhamad Haider,"Muhamad Haider is a painter from Jeddah and president of the Saudi House of Artists. His work can be seen in galleries on his personal website. There is also a list of selected group and solo exhibitions since 1999 both at home and abroad. The galleries on his website show a variety of approaches to the art of catching our eye, that the artist used over changing periods of time. In the first gallery are images of his early works which were made before 1999 when he was endeavouring to paint reality. Then his second gallery (1999-2001) is more interesting. While some Saudi artists seem to make this conscious decision to paint in an abstract style, it is evident from his work that Haider went to the Jeddah coastline and bathed his eyes in the chaotic behavior of waves that meet the shore. From this his painting may have turned to abstraction by a longing to join the swim. Great painters like William Turner would have given a nod of approval. But this avenue Haider did not pursue for long. In 2002 he turned into the desert with a style of slight abstraction with references to Saudi traditions and religion. What abstraction is there in an Arab horseguard, but for speed and what more abstraction is needed than the truth in an image of Kaaba? After 2005 Haider leaves this style again and comes up with a range of experiments. But he keeps with him his deconstruction of a traditional ornament. Have a look at the journey of the triangles in his paintings and how the black ones keep their distance and stick together.       "
Muratbek Djumaliev,"Artists Gulnara Kasmalieva (b. 1960) and Muratbek Djumaliev (b. 1965) are both based in their hometown of Bishkek, Kyrgyzstan where they collaboratively produce video and photographic installations. Kasmalieva studied at Kyrgyz State College of Fine Art, the Department of Graphics at Moscow Academy of Fine Arts, Russia, and Tallinn Academy of Fine Arts in Estonia. Djumaliev studied in the departments of sculpture of Mukhina Academy of Art and Design, St. Petersburg, Russia and Kyrgyz State Art College."
Murtaza Vali,"Murtaza Vali is a writer, art historian and sometimes curator. He received an MA in Art History and Archaeology from New York University’s Institute of Fine Arts (2004). He is contributing editor at ArtAsiaPacific, and was co-editor of its 2007 and 2008 Almanac issue. He also writes for ArtReview, Art India and Bidoun and has penned monographic essays on artists such as Bani Abidi, Siah Armajani, Emily Jacir and Reena Saini Kallat. As winner of the winter 2010 Lori Ledis Curatorial Fellowship he presented Accented, an exhibition examining the ‘accent’ as the stubborn trace of cultural difference in the age of globalisation, at the BRIC Rotunda Gallery, Brooklyn (2010). He has spoken at Cornell University, the Yale School of Art and Art Dubai’s Global Art Forum (2010), and served on the Selection Jury for the 2010 Sharjah Art Foundation Production Programme Grants. He lives between Sharjah and Brooklyn."
Musaed Alhulis,"Musaed Alhulis (b. 1973 in Al Baha, Saudi Arabia) holds a masters’ degree in Design and Analysis of Vehicle Systems from the University of Huddersfield in the UK. Alhulis lectures at the Technical College in Jeddah, and is a founding member of the Tasami Center in Jeddah."
Mustapha Benfodil,"Benfodil is an Algerian writer and journalist. He began his career writing poetry, novels and short stories. One of his three novels was awarded the Best Novel of 2003 in Algeria. El-Khabar newspaper awarded him the International Omar Ouartilane Prize for Press Freedom (2008). His collected poems and short stories will be published soon in Algeria. His plays were shown and/or published only in France. In 2009, he launched his Scattered Plays – Wild Readings across Algeria’s ‘underground’. Benfodil lives and works in Algeria and writes for Al-Watan daily newspaper."
Muzamil Choudhury,"Muzamil Choudhury (born 1977) is an emerging artist, of Pakistani descent. He is influenced and inspired by his upbringing, growing up in the industrial city of Manchester, UK. Largely self-taught, he has attended courses at The Prince’s School of Traditional Arts. After spending much of his youth working at his family restaurant and knitwear factory, he took up a career as a firefighter. Being a British Muslim firefighter has presented emotional, mental and physical challenges but has also given Choudhury a rich body of experiences that have informed his artistic practice."
N.S. Harsha,"The work of N.S. Harsha embraces painting, installation, site-specific and community projects. Communicating narratives of everyday life, his work combines an eclectic range of images and iconography taken from his homeland of India and the wider world beyond."
Néjib Belkadhi,http://www.sharjahart.org/people/people-by-alphabet/b/belkadhi-najib
Nacera Belaza,http://www.sharjahart.org/people/people-by-alphabet/b/belaza-nacera
Nadia Ayari,"Nadia Ayari’s work focuses on political landscapes. Using recurring sets of protagonists, her paintings relate conceptual narratives from surrounding structures. For the fig, the character at the center of her compositions, the way through said structures is sanguine. Her recent explorations in fresco add a sculptural dimension to her richly dense surfaces and question dominant historical armatures. She has had solo projects at Luce, Turin (2009), Monya Rowe, New York (2011) and The Third Line, Dubai (2013), and has participated in the 12th International Cairo Biennale (2010), the 3rd Thessaloniki Biennale (2011) and Art Dubai Projects (2014). Her work has also been exhibited in venues including the Saatchi Gallery, London, and Monica DeCardenas, Zuoz and Gallery Diet, Florida. Ayari earned her MFA from the Rhode Island School of Design (2007) and has been a resident at the Skowhegan School of Painting and Drawing (2006), the Fine Arts Work Center (2010) and AiR Dubai (2014). She also co-runs S2A, a project space and collective based in New York where she currently lives and works."
Nadia Kaabi Linke,"My work is opposed to views that transmute into overviews and prejudices by forgetting or neglecting the complexity and the unique character of a context, region and situation.  It is an attempt to express the impossibility and the uselessness of defining a point of view."
Nadia Kaabi-Linke,"Nadia Kaabi-Linke was born in 1978 in Tunis to a Russian mother and Tunisian father. She studied at the University of Fine Arts in Tunis (1999) before receiving a PhD from the Sorbonne University in Paris (2008). Her installations, objects and pictorial works are embedded in urban contexts, intertwined with memory and geographically and politically constructed identities. She held her first solo show Archives des banalités tunisoises at Galerie El Marsa, Tunis (2008) and her major solo show in Europe, Tatort at Gallery Christian Hosp, Berlin (2010). She has participated in several international group exhibitions that include Drawn from Life, Abbot Hall Art Gallery, Kendall, UK (2011), Different Abstractions at Green Cardamom, London (2011), Split at Darb 1718 Contemporary, Cairo (2010); Aftermath, the 25th Alexandria Biennial (2009); Provisions for the Future, the 9th Sharjah Biennial (2009); Africaines, 2nd Pan-African Culture Festival,  Algiers (2009) and the 30th Pontevedra Art Biennial (2008). In 2009 she was awarded the Jury Prize by the Alexandria Biennial, and in 2011 she won the Abraaj Capital Art Prize. Kaabi-Linke is represented by Green Cardamom in London and Lawrie Shabibi in Dubai. www.nadiakaabilinke.com"
Naeem Mohaiemen,"Naeem Mohaiemen is a writer and artist working in Dhaka and New York. He uses photography, film and essays to investigate rupture histories, including that of the global left and failed utopias. Project venues include Whitney Biennial of American Art (as member of Visible Collective), Finnish Museum of Photography, Third Line Dubai and Frieze. Publications include “Between Ashes and Hope: Chittagong Hill Tracts in the Blind Spot of Bangladesh Nationalism” (Editor), “Islamic Roots of Hip-Hop” (Sound Unbound, MIT Press), “Collectives in Atomised Time” (with Doug Ashford), and “No Exit” (with Glenn Urieta, Secret Identities: Asian Superhero Comics). Project themes have been described as “wry photo-and-text works, which gently question the efficacy of activism” (Brian Boucher, Art in America), “ultimately more illuminating than Jacques Rancière’s microscopic examinations of the utopian kernels” (Ben Davis, ArtNet) and “not yet disillusioned fully with the capacity of human society” (Vijay Prashad, Take on Art)."
Nargess Hashemi,"The works of Nargess Hashemi are intimate observations of the dualities that permeate her daily existence in Iran using a diverse range of techniques and materials including monoprinting, macramé, graph paper and acetate."
Nasir  Nasrallah,"b. 1984, Sharjah, UAE"
Nasser Al Maimoon,"Nasser Al Maimoon is an initially self taught calligrapher born in Riyadh. He perfected his art by correspondence and travel. And perhaps by patience and effort. Having looked for teachers abroad in Turkey and Egypte - hence the flowery decoration, I presume - he also received training from Saudi calligrapher Abdullah Riza."
Nasser Al-Salem,"Nasser Al-Salem (b. 1984 in Mecca) studied Architecture at Um al Kora University in Mecca and and has expanded his creative ability into his calligraphic practice. The art of giving form to signs is expressive, harmonious and skillful. The story of writing is one of aesthetic evolution framed within the technical skills, transmission speed and material limitations of a person, time and place. Al Nasser’s work is not only aesthetically beautiful but conceptually refined. Having grown up in Mecca, his work is heavily influenced by Islamic religion and tradition."
Nasser ben Ibrahim Aldubaihi,"Nasser ben Ibrahim Aldubaihi is a prolific painter of arabian horses, often in a dreamlike setting and with portraits of people. He has an exclusively arabic gallery on internet."
Nastaran Safaei,"Born in 1984, Tehran, Iran"
Neda Razavipour,"Born in 1969, Tehran, Iran"
Negin Ganjavi,"Negin Ganjavi was born in Iran in 1982, and obtained a B.A. in painting from Tehran’s Azad University in 2005. Having participated in solo and group exhibitions around the world, Negin has worked in the fields of painting, photography, sculpture, performance art, as well as caricature. Influenced by Persian poets such as Omar Khayyam and Hafez, as well as Mesopotamian culture and mythology Negin’s highly personal work focuses on identity and self-discovery."
Nelson Soares,NA
Nevin  Aladag,"b. 1972, Van, Turkey"
Nicky Nodjoumi,"Born in Kermanshah, Iran in 1942, Nicky Nodjoumi experienced the Islamic Revolution of 1979 from the perspective of a young artist, astutely aware of the political and social upheavals of this tumultuous period in Iran’s history. Earning a Bachelor’s degree in art from Tehran University of Fine Arts before relocating to the United States in the late 1960s, Nodjoumi received his Master’s degree in Fine Arts from The City College of New York in 1974. Returning to Tehran to join the faculty of his alma mater, Nodjoumi joined his politically galvanized students in their criticism of the Shah’s regime, designing political posters inspired by the revolutionary spirit sweeping the country, only to be exiled once more in the aftermath of the revolution. This political engagement has continued to the present day. His nuanced figurative paintings engage in political discourse with a light, satirical touch, layering his personal heritage and lived experiences in Iran and the United States into scenes that resonate beyond specific historical contexts or geographical boundaries."
Nida Sinnokrot,"Nida Sinnokrot is a filmmaker and an installation artist. His work is very reflective of his hybrid identity and personal experience. Of Palestinian origin, Sinnokrot grew up in Algeria and moved to the United States of America as a teenager. Nevertheless, his films, installations and sculptures increasingly explore the traumas generated by the Israeli-Palestinian conflict."
Nida Sinnokrot,"Nida Sinnokrot is an American artist of Palestinian origin born in the United States and raised in Algeria. Working in film and installation, his first film, Palestine Blues premiered at the New York Underground Film Festival in 2006 and was screened in over thirty festivals worldwide."
Nika Oblak,Contemporary art is nothing but a business - we take it as a joke.
Nikolaj Bendix Skyum Larsen,Nikolaj Bendix Skyum Larsen uses a variety of materials and media to create work with a deeply humanistic engagement at its core.
Nil Yalter,NA
Ninar Esber,"Based on personal experience –of womanhood but also coming from a certain elevation and slow languor –Ninar Esber’s work touches profoundly upon the notion of identity whilst tracing a poetic vision of the world. The artist uses the human body as an element to support a collective symbolism, made to work in relation to architecture and everyday objects in order to play on the notion of context, in the social, interpersonal even political sense of the term. In her photographs, videos and performances, the sensuality which runs through her work questions genres, morality and their authority. Thus, she makes use of stereotypes in order to better criticize them: the pin-up and the Hollywood star (the performance On the Rooftop of Kom Ghrab in 2008, the series of photographs NMM and also Pin-up) superheros (FEMALE, 2009), cultural symbols (Colours, Arlesienne), etc."
Niyaz-Azadikhah,"Niyaz Azadikhah (b. 1984, Tehran) lives and works in Tehran."
Noha Al-Sharif,"Born in 1980, Noha Al-Sharif is a Saudi sculptor, currently living in London. She graduated from the Jeddah School of Fine Arts with a BA in 2004 and has recently completed her MA. Al-Sharif has an interest in the representation of groups and the sculptural history of how different figures relate to each other."
Noha Al-Sharif's,"Noha Al-Sharif's intentions are entirely pure when she expresses the power of prayer in her work. She is a sculptress from Jeddah and works at night on a rooftop platform. Her inspiration is Henry Moore, and very specific his sculpture group Three Piece Reclining Figure No. 1 (1961) about which she wrote a Masters thesis. In 2004 she graduated with a Bachelor's degree from the Jeddah College of Fine Arts."
